,username,tweet4original
5829,palewire,"#BREAKING: @jpanzar was just the 1,000th student to sign up for our @utknightcenter MOOC on news analysis with Pyth?€? https://t.co/2vGvE4vWo1"
5831,KedarPavgi,cc: @navybook https://t.co/nfY967x2As
5832,palewire,RT if yer already nerdy. Click through if you wanna get there. https://t.co/qizeUZi39n
5840,Psythor,I did some data journalism! Which Tube Line is hottest? The answer might surprise you as it isn?€?t the Central Line.?€? https://t.co/zasrJv2dt9
5842,joanne_stocker,???? (I am such a nerd) https://t.co/73BBtuFMt3
5843,conradhackett,AMA with DJs at The Economist https://t.co/hFCXadRzyy
5844,konstantinosant,Woot! @haddadme of @ajlabs is nominated for best individual portfolio at the Data Journalism Awards #ddjunconf https://t.co/7hz264USEl
5846,jrburns,Word geek holiday. https://t.co/VrrsJ3U6Qi
5847,small_media,Interested in #Iran and data journalism? IOD is hosting a training workshop in Washington DC 20-21 June. Sign up:?€? https://t.co/MXNndA2XTX
5849,Agenzia_Italia,"= #DataJournalism =
Il futuro della sovranit?? alimentare in 4 grafici (di @ogdabaum)   https://t.co/JuHGjq8kjh https://t.co/FuqK5luzwX"
5855,neo4j,"Come see @pudo from @OCCRP present as part of the ""#DataJournalism in the Connected Age"" panel discussion on 11 May?€? https://t.co/3wJGAparpG"
5856,abtran,The @APStylebook's newest edition has a new chapter on data journalism guidance https://t.co/kinCk0NJ6v
5857,neo4j,"#DataJournalism in a Connected Age [ @GraphConnect Preview ]

https://t.co/Pol8KxTz4K
@LeilaHaddou @pudo?€? https://t.co/UmLWZ3FCEQ"
5860,rohanjay,"Interesting @GENinnovate project DJ-hub, a one-stop-shop for #ddj #datajournalism #ddjunconf https://t.co/YQ8gggx6AS"
5864,wolfewylie,"Had fun yesterday at the Go Open Data conference, talking up data journalism, data literacy and journalism's role i?€? https://t.co/3eevHmGloM"
5866,TheChrisSuprun,"@EricaGrieder There you go again. Using facts and data.

I guess @VoteBeebe is into fantasyland and not fact based journalism."
5869,kateirby,Important journalism: @FiveThirtyEight assembled a ton of data to show how to spot frontrunners on ?€?Bachelorette?€? https://t.co/EK6GvVfw2K
5870,AP_CorpComm,Data journalism chapter debuts in 2017 AP Stylebook: https://t.co/BGfqYMaEYr
5873,davelevinthal,We at @Publici are looking for a great data reporter: https://t.co/f6HrLv3TWo
5876,stevematthewson,"Some really great insights into how @TheEconomist's data team works here, around collaboration in newsroom, verifyi?€? https://t.co/qIt0frk8fC"
5880,GENinnovate,"The #dja2017 shortlist ?€? The most outstanding projects submitted to the #DataJournalism Awards 2017 competition
???????€? https://t.co/DJX9CkaDk5"
5883,stevevance,Someone please port this to Mac! https://t.co/xJPoDL50im
5885,jennfields,"My 2004 style guide is woefully out of date. No data guide, and you still had to say ""more than"" back then (and I s?€? https://t.co/UrrRxGEDpH"
5886,rohanjay,1950s dataviz from the BBC. Sir Robin Day wields the chalk #ddjunconf #datajournalism. Sir John Reith looks away. https://t.co/GiWKNzfl6E
5889,ptr_yeung,Woop woop woop ???? https://t.co/Utfph9iwe1
5896,Danict89,"#ddjunconf @GENinnovate reveals DJ-hub, an international hub for #ddj #datajournalism"
5899,mrmarkpotts,It's like Christmas for nerds! (cc @haileybranson) https://t.co/SadNb9R3uw
5900,peterjukes,The difference between journalism and hackery. Data theft should never be called a 'leak' #macrohack #wikitheft https://t.co/rkcCr2ufJv
5902,Danict89,Have fun with the #ddjunconf #datajournalism ultimate #ddj tools list https://t.co/X7wseuEDrv
5903,Info_Activism,"The seven deadly sins of statistical misinterpretation, and how to avoid them https://t.co/CWltuIaK8N"
5904,nodexl,Top Ten #ddj: The Week?€?s Most Popular Data Journalism Links https://t.co/vGGJ1Zp4Go
5909,mberzosa,"Atenci??n periodistas de datos; cosas a lo #PanamaPapers de refil??n... o ser parte desde #Madrid (tambi??n Par??s, Was?€? https://t.co/Pr8NiGPrcf"
5912,JonRMcClure,"Editors still hiring for that ""data journalist"" desk in the corner. AP says stop. https://t.co/CygfeNiUcc https://t.co/xnobUpQAFs"
5916,mberzosa,"Este martrs se han anunciado proyectos, desarrollos y porfolios de #periodismo en preselecci??n para los?€? https://t.co/6peJt5IObb"
5917,VishalManve12,Numbers don't add up. Plus the PR'esque tone of the article makes it hard to believe. Why isn't RBI releasing data?€? https://t.co/I51ZTQBdXR
5923,LoebVernon,Sign up now for our new online course on data journalism: 'Python for Data Journalists: Analyzing Money in Politics' https://t.co/oqDSWT66C8
5925,mdetaillac,"Vivement qu?€?on ait la composition du gouvernement, que l?€?on ait assez de mati??re pour du data journalism sur la pilosit?? du cabinet Philippe"
5927,rohanjay,"As source of a story, evidence, means of explanation, proof of impact/outcomes, yes, but as story telling mechanism?€? https://t.co/B0SwRai6jB"
5928,ghazayel,"#Google released ""Data Gif Maker"", a tool to help journalists make visuals, of two competing topics. 
https://t.co/MJTneZY2pz"
5929,neo4j,"GraphHack #Hackathon at @GraphConnect Europe ?€? #London, UK
Wednesday, 10 May @ 18:00 BST
    
Theme: #DataJournalism
https://t.co/XhF8inboO9"
5930,damianradcliffe,Podcast: Where Data Journalism Comes From with C. W.??Anderson https://t.co/7lG9wc4PP4 https://t.co/R10dbvSH06
5931,GENinnovate,"This just in ?€? The most outstanding projects submitted to the #DataJournalism Awards 2017 competition
???????€? https://t.co/122kkz89LA"
5932,UNDPEurasia,#Kyrgyzstan is looking for lecturers for a data journalism bootcamp in June. Apply by May 14th:?€? https://t.co/SyRQALzScF
5935,neo4j,"This Week in #Neo4j ?€? 27 May 2017

https://t.co/BvhdOhV5uf
ft @jeffmmorris @NeilCHughes @LeilaHaddou #datajournalism https://t.co/DiUPGDKmCm"
5936,RiccardoLuna,L'Italia migliora nella difesa della comunit?? Lgtb. Ma non basta #datajournalism https://t.co/XPYB2ze5r7
5937,TBIJ,We're thrilled that two of our projects are up for prizes in the international Data Journalism Awards 2017: https://t.co/iARtc2EZZg #dja2017
5938,sfchronicle,"Explore the Bay Area?€?s best journalism, visual features and data-driven investigations. https://t.co/iToIMRbKO9 https://t.co/18foZVHCXs"
5940,FedorZarkhin,Woo-hoo! Big day. https://t.co/EnqVGrDXNZ
5942,neo4j,"Getting excited for our panel, Data Journalism in the Connected Age with @FinancialTimes @LeilaHaddou 
Register at?€? https://t.co/nQX61JlKPc"
5946,neo4j,Come join us at the @GraphConnect GraphHack on 10th May and build the best #DataJournalism app for awesome prizes?€? https://t.co/uKkJ5cgb3G
5949,nicolakuhrt,... und das sind alle: https://t.co/4kfedfwpOy https://t.co/qY0ER30rC5
5950,akcausey,"Oh, I know some nerds are excited out there today #stylin ???? https://t.co/hS3i1aH0zg"
5952,orgnet,"Open Gov. Data FTW!
https://t.co/cCnpHcaRh2 https://t.co/moQNJw0gxe"
5955,konstantinosant,"Our @ajlabs ""Broken Homes"" piece is nominated in the Public Choice category of Data Journalism Awards https://t.co/W2hLLv5xwW #ddjunconf"
5959,GENinnovate,"#DataJournalism Awards 2017:
?€? 573 submitted projects ?????? 69 nominations ?€?
?€?Check the #dja2017 shortlist here:
https://t.co/NlI3k1rM55"
5962,DavidHaleESPN,"Really interesting/surprising bit of data journalism. Read til the end, it's prob not what you think: https://t.co/YM2DGWXuqT"
5963,DavidsonLVRJ,This is actually a very big deal. https://t.co/cLpRX4Es5V
5965,RiccardoLuna,Il futuro della sovranit?? alimentare in 4 grafici  #food #seedsandchips https://t.co/22vya5OPfw
5966,albertocairo,When?????? #dataviz #infographics #ddj #dataJournalism https://t.co/fiMvZGZqVd
5972,palewire,@harrisj @latimes Data Journalism was a but a glimmer in the eye of Daily Kos commenters
5974,albertocairo,This https://t.co/cSRUWSaJyK
5975,Agenzia_Italia,"= #legittimadifesa =
A che ora avviene la maggior parte dei furti in casa? No, non di notte...  https://t.co/Dl1PjV0BCv #sicurezza"
5977,Bahareh360,#ONADublin Check out the European Data &amp; Computational Journalism conference also coming to Ireland in July 2017. https://t.co/9zzLSUu789
5980,JohnGushue,"There's a new beat in town for journalists: algorithms

https://t.co/tfjB7jsfkS

#journalism #datajournalism #media https://t.co/Hjp6Bd4rsy"
5982,zubakskees,narrator: and so he joined another Slack https://t.co/V5OmJXWBgc
5983,albertocairo,Four months for the #digitalHumanities+#dataJournalism #ddj Symposium in Miami. Speakers and registration:?€? https://t.co/fElvdByCKR
5991,kncukier,"Woah! For the chance to work with the amazing @adnansarwar, YOU should pay US! https://t.co/QeDI0VHRDw"
5992,Internews,All about #datajournalism with @EvaConstantaras on @mozilla's #StoryEngine project. https://t.co/1dKTXIFeAT
5998,pcdnetwork,Global Investigative Journalism Conference premier international gathering of investigative &amp;data journalists @gijn https://t.co/MNOk85U7Ae
6001,mikamckinnon,Industry news: @CJR is trying to track how many journalism jobs are being lost. Contribute your data via David: https://t.co/W5VpSRVQNT
6004,JillGeisler,The hard data?€?what a loss of talent to journalism. https://t.co/1f5nRuv8bf
6008,JeneeinKC,Aspiring data journos: https://t.co/y071nt9y15
6010,duncan3ross,"Twitter, help me out! Can you recommend top resources for  #datajournalism? Especially on what makes it new!"
6011,mozilla,"At #mozfest, @EliotHiggins talks about citizen journalism and open source data. https://t.co/PuWEDqeeTN https://t.co/zFTmqhcHzz"
6013,Agenzia_Italia,Quanti sono i #rom in Italia https://t.co/io9QH6zRZl #datajournalism #numeri https://t.co/HYgnD0hJTu
6014,connie_walker,Thinking of @valerie_ouellet as I listen to this panel taking about the importance of data in investigative journalism. #logansymposium2017
6015,ansaeuropa,Alleanza ANSA-Afp-Dpa per primo sito europeo #datanews su #Ue https://t.co/Yav4KGKGYY @AFP @dpa @Agenzia_Ansa?€? https://t.co/TWCBUZHY5I
6016,albertocairo,Oh wow #dataviz #infographics #ddj #dataJournalism #dataVisualization https://t.co/cDN4tAI1Cd
6017,IndiaSpend,Day 1 of Data Journalism Workshop 2017 at UChicago in New Delhi kickstarts with @govindethiraj introducing IndiaSpe?€? https://t.co/UKQ6o8jGpl
6020,Bahareh360,The Global #DataJournalism survey will close in 20 days. Please take a few minutes &amp; give your input. #ddj #ijf17?€? https://t.co/9RbWVLr8y2
6023,GrrlScientist,Liz Spayd's (@spaydl) wide-eyed credulous ?€?phony populism?€? traffics in anecdotes rather than data &amp; real?€? https://t.co/DdP0lAzg36
6024,lakens,Responsible science journalism: @lifehacker informs their readers Wansink data they often reported on is problematic https://t.co/m8eLAnNBGN
6025,albertocairo,"Holy crap, this scrollable map of Guangzhou's population growth https://t.co/8O2XgfJAM4 #dataviz #infographics #ddj?€? https://t.co/45RrQToYfr"
6028,Raseef22En,"On March 30, Arab industry leaders gathered for a definitive discussion on the future of #datajournalism.
https://t.co/7QWJH2wakV"
6029,VocentoLab,Calentando https://t.co/DuxgheJlZT
6031,AJIIndonesia,Irine Jay Liu from @googlenewslab through google hangouts giving presentations about the use of technology in data?€? https://t.co/xYhowjmGOY
6032,fcoel,Gracias Eva. Nosotros tambi??n admiramos mucho tu trabajo. https://t.co/i8kIVjrtsv
6037,Pri_Borpujari,"If #datajournalism is about teamwork, would it improve independent &amp; #freelance #journalism when time is money? #DJW2017 @IndiaSpend @IWMF"
6038,ONSdigital,"View the 2016 highlights from our in-house data jounalists: https://t.co/PLj4PXQSpH 
 https://t.co/ctZzxkgI42"
6042,jbernstien,"Insightful data journalism by CBC's @robroc ?€? What 10,000 Kickstarter projects reveal about Canada's entrepreneurs https://t.co/kwQ7n3yw0k"
6043,NiemanLab,A new European union is forming (of media organizations partnering to share their data tools and journalism) https://t.co/PpvjcLYEpL
6044,patcaldwell,Data journalism at its finest https://t.co/5DhTPKSQXO https://t.co/gjkft2DKf7
6046,LukewSavage,"""Data journalism"" https://t.co/TABA9uwpSo"
6047,staphwriter,Data journalism still feels kinda dead
6049,IndiaSpend,.@PrachiSalve11's session on how to go about finding data on health at the Data Journalism Workshop 2017 #DJW2017 https://t.co/KzEGZ32pKJ
6052,BrendanNyhan,@_cingraham #datajournalism
6053,IndiaSpend,Malini Chakravorty's session on budget and governance accountability at the Data Journalism Workshop 2017 #DJW2017 https://t.co/OgfUTI5sTh
6054,_cingraham,FACT: We're closer in time to the oldest millennials joining AARP (2030) than to when Britney and Justin wore denim?€? https://t.co/hegS5iz07g
6055,albertocairo,"Well, it's both a surprise and an honor to be in such a good company #dataviz #infographics #ddj #dataJournalism?€? https://t.co/7I5Oiombqv"
6056,PoliticoRyan,The @EU_Commission is providing ???1.95 million in funding for two journalism websites launching this year. https://t.co/wfBk29pPce
6057,Bahareh360,"Data Journalism globally: where is it heading? Join us, @mirkolorenz, @Maid_Marianne, @cabralens &amp; myself, on Satur?€? https://t.co/BNyrORkW1c"
6058,ProPublica,4/ It was deeply reported. Heavy with data and design. And used crowdsourcing that directly contributed to more cha?€? https://t.co/NeTOQq0UZP
6059,IndiaSpend,.@pravchak decodes the #upelection2017 at the Data Journalism Workshop 2017 @UChiDelhi #DJW2017 @IDFCinstitute https://t.co/mXmYNhgjRH
6060,Bahareh360,@PauGuisado @cabralens @danielegrasso @caelainnbarr Have you guys shared your insight with the Global ddj survey? https://t.co/zAKXyaylRp
6064,ONS,Introducing our Data Journalism Intern Scheme; using public data for public good https://t.co/SL6EDoLkME https://t.co/QRChUVn2uC
6066,Jdharden,"""But speaking on the ?€?viz?€? side of things, ... it?€?s going through a bit of a retrenchment following a year-plus of?€? https://t.co/eAwJXPNyiF"
6067,Radio1Rai,"ON AIR @EtaBetaRadio1 #Robot e datajournalism: come cambia la nuova stampa con @_arianna, @barbarasgarzi e?€? https://t.co/htHOa5TYFP"
6069,IndiaSpend,An interesting read on the importance of #datajournalism. Thank you @Pri_Borpujari for joining us at the workshop?€? https://t.co/pWpfemc4pK
6070,Megan_Lucero,"@puntofisso @duncan3ross, here's @bureaulocal's take and what we are doing: https://t.co/KopKLZSaOu"
6071,bibekbhandari,"Summer internships &amp; full-time positions - @SixthTone has openings for news, features, op-ed, data #journalism #jobs https://t.co/yKt9MAcoBH"
6072,TableauSupport,"Journalists love us and we love them back. As such, we have a new curriculum available for data journalism programs! https://t.co/hQBl1fBeKW"
6075,FullFact,"Are you a student who wants to be a data whiz? Apply for the @ONS #datajournalism internship, we would if we could. https://t.co/fN6E3QyTLX"
6077,efekerem,".@ezraeeman @Journalism2ls Data journalism #ddj ????students,
@ezraeeman's @Journalism2ls slides:?€? https://t.co/t8IiO5uOqi"
6080,nodexl,Top Ten #ddj: The Week?€?s Most Popular Data Journalism Links https://t.co/msAIUZvmR4
6082,Bahareh360,The Global Data Journalism survey closes in 12 days. Take 5-10 min &amp; input how you use data in your newswooms. https://t.co/zAKXyaylRp #ddj
6084,CherylKawaja,Regional RTDNA for data journalism goes CBC North's @rjgleeson.
6085,GENinnovate,"If you're in London???????? in May, come and talk #VR, drones, and AI in #datajournalism with us!
?€?Request an invite here?€? https://t.co/eGSN3cs7sx"
6089,AbbieRBennett,Is this what they said about online journalism? Because https://t.co/m7caM5KMDQ
6091,Mayank1029,Had a great day at the @IndiaSpend workshop on data journalism. Many thanks to @samar11 for organising this. Thoughts/observations follow.
6093,POLITICOEurope,EU to fund two European data journalism hubs with ???2 million https://t.co/EgTRetcImt https://t.co/pm4CtPTolw
6094,deniselaw_,We're hiring an interactive data journalist to join a team led by @AlexSelbyB (my nickname for him is superman) https://t.co/0LaxAoRToe
6097,collinskeith,"When it comes to completely misunderstanding graphics/data journalism, @FastCompany truly has no rival?€? https://t.co/nhBWV4oXKE"
6099,IJNet,"For successful data journalism collaborations, @aroonkarki says narratives matter just as much as numbers:?€? https://t.co/ZfrzruZocR"
6100,davidottewell,Really pleased the TM data unit is participating in this https://t.co/lojFxeQfIz
6101,mjrobbins,"It?€?s the only area of journalism outside of sports where ?€?hacks?€? care about real data, however sloppily, so let?€?s n?€? https://t.co/aGDMZUlWJS"
6103,darrenwaters,We're supporting data journalism @ONSdigital with paid student internships with some pioneering newsrooms.?€? https://t.co/dvYiQCYWnQ
6104,GurmanBhatia,#datajournalism #ddj https://t.co/BVBCK93Zbs
6105,IndiaSpend,Session 2: @nasrhadi begins his session on mapping with google fusion at the Data Journalism Workshop 2017 #DJW2017
6106,pulitzercenter,Apply Now ????????? We are offering grants for #datajournalism projects related to #landrights and #propertyrights.?€? https://t.co/mbNLryxxWp
6107,albertocairo,"Interview with @duenes, one of the 3 keynotes of #digitalHumanities+#dataJournalism #ddj (https://t.co/oqWRwSlYFt)?€? https://t.co/1YeySUiJRv"
6108,Agenzia_Italia,"#Foia: ai ministeri 205 istanze in tre mesi, 55,1% accolte https://t.co/u603dIPiXI  #numeri #datajournalism https://t.co/7c1AXRFgTm"
6109,ashokpillar,"Morang on top in terms of registered voters, Manang at bottom #VotersListInData #Datajournalism @NavinKhatiwada?€? https://t.co/CWwUbUE7Db"
6111,dave_janak,"Thank you @IndiaSpend for organizing #workshop  on #DataJournalism  It was informative,learned Data tools.?€? https://t.co/b6exiRWEtK"
6113,counterpartint,"#PictureAWorldWhere Journalists use data to ensure transparency and accountability in govt
@USAIDGuate 
@IREXintl 
https://t.co/k7KcJ62uJC"
6114,lucatremolada,Congrats https://t.co/QPabBdpUok
6115,IndiaSpend,.@pravchak explains the vote share myth at the Data Journalism Workshop 2017 #DJW2017 @IDFCinstitute https://t.co/Wu7PubMadu
6116,hrbrmstr,citizen data-journalism! https://t.co/sZZqG0iv57
6117,Agenzia_Italia,Una persona su 2 si lascerebbe curare da un medico #robot. Lo dicono i numeri https://t.co/3KBfO9edYv?€? https://t.co/6xIHcukEzL
6119,IndiaSpend,"With the introductions done. @branthouston, our first speaker, begins the first session of the Data Journalism 2017?€? https://t.co/YkTqUWKqOK"
6120,mediagazer,How the Argentinian daily La Naci??n became a data journalism powerhouse in Latin America https://t.co/UKtkV6YP2E https://t.co/7ODAiS3d8t
6122,knightfdn,Today is the final day to submit projects to @GENinnovate?€?s Data Journalism Awards! Find info here: https://t.co/LEfrOIEMB9 #dja2017
6123,annacod,"this is cute but #bad data journalism. the figure for the Friends apt has literally been plucked out of thin ain
https://t.co/6R3DvXx6Jf"
6124,OmidyarNetwork,Journalists: Final days to apply for @pulitzercenter grant for data-driven projects related to #propertyrights https://t.co/Xe0XsN4R7I
6125,RiccardoLuna,Un cellulare su cinque e una console su quattro in commercio sono falsi - benvenuta FormicaBlu #datajournalism https://t.co/rP7xsKsrVl
6126,albertocairo,"If you work in #dataviz #dataVisualization #infographics #ddj #dataJournalism, this article by @lenagroeger is requ?€? https://t.co/PZqO3P1Y4A"
6127,MartinBelam,.@guardian ?€?Not just cool graphs: data journalism for investigations?€? #ijf17 panel ft @danielegrasso @PauGuisado?€? https://t.co/fOcCtvqKXc
6128,Bahareh360,The Global #DataJournalism Survey will close in 13 days. Plz take 5-10 min &amp; tell us about your work. https://t.co/zAKXyaylRp  #ddj
6129,_ClaireConnelly,@koobs @aqualung @Info_Aus @independentaus @NoFibs @OnLineOpinion @Crikey @newmatilda @guardian @MotherJones?€? https://t.co/vgDBT2o0PE
6133,Jdharden,.@journocode launched a data journalism dictionary. Check it out if you want to dive into data. Very useful.?€? https://t.co/qpZpjvEDmx
6134,pulitzercenter,Apply Now ????????? We are offering grants for #datajournalism projects related to #landrights and #propertyrights.?€? https://t.co/3A433zzYqv
6135,davidottewell,What's described in this thread happens a LOT in data journalism &amp; is INCREDIBLY annoying. (Enough for SHOUTY CAPS) https://t.co/O2dFF3sItB
6137,IndiaSpend,Hands on training on google fusion by @ICFJKnight fellow @bajpairavi at the Data Journalism Workshop 2017 #DJW2017
6142,lucatremolada,@guidogentili1 https://t.co/QPabBd8jwM
6145,IndiaSpend,The @JPAL_SA team takes a session on how to use scientific research to inform media writing at the Data Journalism?€? https://t.co/9qVvGR3zg1
6147,nixxin,"There's an old journalism saying, @PandaJay : ""trust but verify"" https://t.co/enfJWzghpS"
6148,IJNet,"Read all about @LANACION's data journalism innovation, YouTube's algorithm change + more in the @CIMA_Media DMM: https://t.co/iVXyRY7hQ6"
6149,Pokharelbp,Data journalism ?????? ??????????????? ??? #Datajournalism https://t.co/fvOfoAM97D
6150,Bahareh360,The session on 'Data Journalism globally: where is it heading?'. @mirkolorenz giving an intro to #ddj. #ijf17 https://t.co/e2GqidpBfo
6151,AJIIndonesia,"yuk ikut Indonesia Data Driven Journalism 2017, tanggal 21 April 2017, 08.00-14.45 #IDDJ2017 registrasi kesini ya:?€? https://t.co/7dF4CuBU4D"
6162,eaDigitalEU,News agencies join forces for EU data journalism site https://t.co/BzmV1fTouj https://t.co/LFZD8TUhVZ
6164,knightfdn,Join the Digital Humanities + Data Journalism Symposium this September in #miami: https://t.co/iVfAJdfHfc @univmiami @albertocairo #ddj
6166,eaPolitics,News agencies join forces for EU data journalism site https://t.co/MK9I512mps https://t.co/WHVTdFhkMl
6169,wolfewylie,"And the in the last week of June, I?€?ll be hosting a week-long data journalism coding bootcamp at @Ukingsdata: https://t.co/6C7IJyV3Y8"
6175,RunGomez,This might be one of the most important jobs that could shape the course of tomorrow's journalists. BIG DEAL https://t.co/dWtQq296xM
6176,walkleys,How to teach data journalism to the data-terrified. ?€?  @Caro_e_graham https://t.co/HTyfdRvXLw
6177,datagoid,"Kompetisi Jurnalistik Nasional #IDDJ2017 resmi dibuka, berita selengkapnya di https://t.co/3O6YQpfcTX https://t.co/Xt5PPis39n"
6180,ONS,"Find out about our exciting internship scheme, providing experience in newsrooms to new journalists?€? https://t.co/3wXcG4eFdT"
6181,Lauren__Dailey,Getting our heads around #datajournalism this morning with @FrankieBi on Day 4 of #KipCamp @KipProgram @OhioState?€? https://t.co/iYxiHJbHEQ
6183,brianboyer,"So good. Nice work, @_neilbedi @humburg22 @tbtprojx!!! https://t.co/XEOH2mUKx9"
6186,SStirling,Data journos out there have any tutorials on basic algorithmic journalism? Talking reader input &gt; structured data call &gt; dynamic text output
6187,contently,Why the evolution of data journalism is allowing more marketers than ever to participate: https://t.co/qolvBd8rs1 https://t.co/0vBICNpu8o
6189,MartinBelam,.@journalismfest ?€?Not just cool graphs: data journalism for investigations?€? ?€? notes from the panel session at?€? https://t.co/vcvuImL3Gl
6193,albertocairo,"About Flourish, the new #dataviz tool https://t.co/WSoIVaGKrw"
6195,TimFernholz,"Andrew Ross Sorkin is ready to give a glowing review to any CEO's side-project, whether its data journalism or running for president"
6196,Bahareh360,Collaborative infrastructures for #DataJournalism &amp; @cabralens on the tools that enabled #panamapapers. #ijf17 #ddj https://t.co/5HAS3CyZ9C
6197,Bahareh360,Examining NUIG students' final Data Journalism projects remotely. Here they were getting ready. #ddj #nuigddj https://t.co/TrrpijCME6
6201,IndiaSpend,@Harry_Stevens shows participants at the Data Journalism Workshop 2017 how to visualise maps with clear geographica?€? https://t.co/dwHtin6u2c
6203,ONSdigital,"Data journalist internships available at BBC, Trinity Mirror, PA, Telegraph and ONS. Find out more https://t.co/LGCtHbaFCn"
6205,IndiaSpend,Participants at the Data Journalism Workshop 2017 completely engaged on DAY 1 #DJW2017 https://t.co/JorDGtCCzp
6206,A_W_Gordon,ProPublica does the best data journalism: using massive data sets to point out systemic issues &amp; finding people to?€? https://t.co/f9gbaauVBE
6207,usembassyzambia,Journalists working w/US journalist Kevin Smith diving deeper into data journalism to bring you more compelling sto?€? https://t.co/l3TGE8COPG
6212,GeorgiGotev,News agencies join forces for EU data journalism site @EURACTIV https://t.co/QYeTIukI1M #Media4EU @LeclercqEU
6214,Agenzia_Italia,"#datajournalism #100days 
Tutti i numeri del Presidente - @realDonaldTrump https://t.co/OcljZzk1PZ https://t.co/hnJaAmcdAU"
6216,pedroelrey,How Argentina?€?s La Naci??n became a data journalism powerhouse in Latin America  -  https://t.co/mpAl7DnUvK
6217,tableaupublic,"With our new curriculum, journalism students will be to visualize raw data into compelling stories:?€? https://t.co/GkSCBIdH2T"
6218,mohamed,Last day to submit your project for the Data Journalism awards. We had great entries last year... https://t.co/chgT47CZ7n
6220,beckyyerak,Thanks @headlineclub &amp; @WBEZ for the data journalism program you're hosting 9:30am-12:30pmCT today. #saturdaymorning https://t.co/i4dbNNRENK
6221,albertocairo,Another keynote at #digitalHumanities+#dataJournalism #ddj: @bestqualitycrab Registration's open:?€? https://t.co/rz5j0I06cO
6222,KathyTGlobe,Congrats @RenataDAliesio! https://t.co/zo0mbhVCC7
6226,gpaccardo,Can data journalism save #Europe? #ijf17 @JacopoOttaviani @danielegrasso @ChElm @CathrineSot &amp; @nicolaskb  A chunk?€? https://t.co/ZkLd5FKoD3
6227,IJNet,This week's @CIMA_Media DMM ft. stories on @LANACION's trailblazing data journalism + more from around the world: https://t.co/iVXyRXPGYy
6229,PortiaCrowe,This is very good data journalism https://t.co/2xrz0klMl9
6230,Pri_Borpujari,"""Elegant simplicity without shallowness: that's what #datajournalism ought to be,"" says @branthouston at #DJW2017 w/ @IndiaSpend"
6232,CBCFletch,@smconnor007 @EsriCanada Unfortunately I can't attend this year but David McKie &amp; Fred Vallance-Jones will be there?€? https://t.co/Sc9GqKnZSc
